mode,load,0_densenet121-8,1_densenet161-4,2_squeezenet1_1-32
mps-uncap,0.8,0.010013580322265625,0.012159347534179688,0.009298324584960938
mps-uncap,0.9,0.01049041748046875,0.011444091796875,0.00858306884765625
mps-uncap,1.0,0.011920928955078125,0.012874603271484375,0.009775161743164062
mps-uncap,0.5,0.011682510375976562,0.012636184692382812,0.009059906005859375
mps-uncap,0.6,0.011444091796875,0.012874603271484375,0.00858306884765625
mps-uncap,0.7,0.011444091796875,0.01239776611328125,0.008821487426757812
mps-uncap,0.1,0.012636184692382812,0.012159347534179688,0.011205673217773438
mps-uncap,0.2,0.020265579223632812,0.014781951904296875,0.009775161743164062
mps-uncap,0.3,0.013113021850585938,0.012874603271484375,0.010013580322265625
mps-uncap,0.4,0.01239776611328125,0.012159347534179688,0.00858306884765625
