mode,load,0_densenet121-8,1_densenet121-8,2_densenet121-8,3_densenet121-8
mig,0.1,13.320684432983398,13.531684875488281,13.547420501708984,25.417089462280273
mig,0.2,13.318538665771484,13.49496841430664,13.531208038330078,25.434017181396484
mig,0.3,13.315439224243164,13.482809066772461,13.519048690795898,25.426626205444336
mig,0.4,13.312339782714844,13.473033905029297,13.535261154174805,25.39825439453125
mig,0.5,13.318061828613281,13.478755950927734,13.501167297363281,25.39849281311035
mig,0.6,13.31019401550293,13.482093811035156,13.505697250366211,25.391101837158203
mig,0.7,13.32402229309082,13.458251953125,13.493061065673828,25.39682388305664
mig,0.8,13.304471969604492,13.488292694091797,13.52548599243164,25.394439697265625
mig,0.9,13.315439224243164,13.486862182617188,13.516902923583984,25.423288345336914
mig,1.0,13.336181640625,13.484716415405273,13.506889343261719,25.45762062072754
