mode,load,0_resnet18-32,1_vgg11-4,2_vgg16-32
mps-uncap,0.8,4.146575927734375,1.8198490142822266,17.47608184814453
mps-uncap,0.9,4.150629043579102,1.828908920288086,17.46964454650879
mps-uncap,1.0,4.181623458862305,1.9023418426513672,17.899274826049805
mps-uncap,0.5,4.13060188293457,1.8298625946044922,17.396926879882812
mps-uncap,0.6,4.144906997680664,1.8358230590820312,17.359018325805664
mps-uncap,0.7,4.138469696044922,1.8186569213867188,17.378807067871094
mps-uncap,0.1,4.146814346313477,1.8491744995117188,17.339229583740234
mps-uncap,0.2,4.126071929931641,1.8162727355957031,17.309188842773438
mps-uncap,0.3,4.138708114624023,1.8208026885986328,17.30179786682129
mps-uncap,0.4,4.157543182373047,1.8320083618164062,17.30823516845703
