mode,load,0_resnet18-32,1_vgg11-4,2_vgg16-32
mps-uncap,0.8,0.010728836059570312,0.008106231689453125,0.011920928955078125
mps-uncap,0.9,0.01049041748046875,0.010013580322265625,0.011920928955078125
mps-uncap,1.0,0.012159347534179688,0.009298324584960938,0.015497207641601562
mps-uncap,0.5,0.011682510375976562,0.01049041748046875,0.012159347534179688
mps-uncap,0.6,0.011444091796875,0.010251998901367188,0.01049041748046875
mps-uncap,0.7,0.011205673217773438,0.009298324584960938,0.011682510375976562
mps-uncap,0.1,0.022411346435546875,0.020265579223632812,0.014543533325195312
mps-uncap,0.2,0.011920928955078125,0.010728836059570312,0.014066696166992188
mps-uncap,0.3,0.01239776611328125,0.010251998901367188,0.012874603271484375
mps-uncap,0.4,0.011205673217773438,0.010728836059570312,0.012159347534179688
