mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,15.867733955383303,8.97364616394043,4.267454147338867
mps-uncap,0.9,15.642690658569336,8.921670913696289,4.280805587768555
mps-uncap,1.0,15.333032608032227,9.776115417480469,4.243135452270508
mps-uncap,0.5,15.730881690979006,9.317779541015627,4.46772575378418
mps-uncap,0.6,15.383434295654297,9.116411209106445,4.285335540771484
mps-uncap,0.7,15.6447172164917,9.080123901367188,4.278922080993652
mps-uncap,0.1,26.869988441467285,19.155216217041016,9.382152557373047
mps-uncap,0.2,17.749500274658203,12.052106857299806,7.162666320800781
mps-uncap,0.3,16.31772518157959,9.97314453125,4.859447479248047
mps-uncap,0.4,15.917754173278807,9.347915649414062,4.45866584777832
