mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,129.951605167835,228.44745711119228,961.7345697875163
mps-uncap,0.9,130.56955534780514,228.90921753643042,954.8342823785738
mps-uncap,1.0,133.37447059538047,219.4762389133124,964.2343269285304
mps-uncap,0.5,107.44556701081855,182.78774587463238,810.8380695208193
mps-uncap,0.6,129.65900300003014,220.27495608372013,954.8199335937098
mps-uncap,0.7,130.83838186049698,227.13921362645243,959.8195789158583
mps-uncap,0.1,22.452119417980402,34.595491212229454,162.9046201240463
mps-uncap,0.2,42.66676178291378,72.5186898280421,325.54368795719677
mps-uncap,0.3,60.132360986012216,112.17752810656137,475.6753455576866
mps-uncap,0.4,83.94110368834278,145.84737688517245,644.9051652895413
