mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,15.22684097290039,8.661270141601562,4.117012023925781
mps-uncap,0.9,15.213727951049805,8.673906326293945,4.158496856689453
mps-uncap,1.0,14.903545379638672,8.859872817993164,4.113316535949707
mps-uncap,0.5,15.181779861450195,8.879423141479492,4.169225692749023
mps-uncap,0.6,14.926671981811523,8.667469024658203,4.147768020629883
mps-uncap,0.7,15.180349349975586,8.699893951416016,4.125833511352539
mps-uncap,0.1,17.042875289916992,14.854192733764648,8.054971694946289
mps-uncap,0.2,15.927314758300781,9.383201599121094,4.791021347045898
mps-uncap,0.3,15.289306640625,9.064435958862305,4.197120666503906
mps-uncap,0.4,15.302419662475586,8.790731430053711,4.179716110229492
