mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,15020.619869232178,14429.098844528198,15912.827968597412
mps-uncap,0.9,19889.840841293335,19226.40562057495,20494.18878555298
mps-uncap,1.0,23353.85298728943,25053.75909805298,24194.305658340454
mps-uncap,0.5,363.96265029907227,111.58537864685059,74.77211952209473
mps-uncap,0.6,883.9032649993896,583.8115215301514,1486.7215156555176
mps-uncap,0.7,6464.025497436523,7424.1578578948975,9107.314586639404
mps-uncap,0.1,39.49260711669922,27.46272087097168,28.653383255004883
mps-uncap,0.2,59.884071350097656,31.394004821777344,24.387836456298828
mps-uncap,0.3,81.59852027893066,49.7281551361084,25.272846221923828
mps-uncap,0.4,132.06124305725098,103.5146713256836,45.25589942932129
