mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,13608.113408088684,13254.542899131777,14370.775270462038
mps-uncap,0.9,17428.04622650147,17633.47110748291,18430.172848701477
mps-uncap,1.0,20989.808559417725,22711.477851867676,21708.832788467407
mps-uncap,0.5,90.49837589263917,60.189437866210945,33.70156288146972
mps-uncap,0.6,657.8625679016113,342.0058488845825,1356.7023038864136
mps-uncap,0.7,5707.271361351013,6596.825695037842,8257.42495059967
mps-uncap,0.1,28.279256820678707,23.0440616607666,14.733791351318358
mps-uncap,0.2,30.71517944335938,19.812607765197754,10.966730117797848
mps-uncap,0.3,34.513115882873535,24.342203140258793,10.93292236328125
mps-uncap,0.4,49.76835250854492,31.280136108398438,17.461299896240234
