mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,7674.536347389221,7261.70027256012,7981.621503829956
mps-uncap,0.9,9947.832345962524,9756.03461265564,10076.154947280884
mps-uncap,1.0,11226.794958114624,12086.987257003784,12152.068495750427
mps-uncap,0.5,21.126627922058105,13.894081115722656,8.164286613464355
mps-uncap,0.6,298.56371879577637,80.4067850112915,762.2928619384766
mps-uncap,0.7,2825.086236000061,3556.2098026275635,4285.410404205322
mps-uncap,0.1,0.03147125244140625,0.029087066650390625,0.028133392333984375
mps-uncap,0.2,0.0286102294921875,0.025510787963867188,0.0247955322265625
mps-uncap,0.3,0.026702880859375,0.9660720825195312,0.4191398620605469
mps-uncap,0.4,8.4686279296875,5.16963005065918,3.0803680419921875
