mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,14888.038072586061,14332.39969968796,15724.844331741335
mps-uncap,0.9,19695.59708595276,19096.533632278442,20261.73025369644
mps-uncap,1.0,23085.00870704651,24832.944374084473,23992.548704147335
mps-uncap,0.5,341.35679960250854,94.23850536346434,55.60125589370728
mps-uncap,0.6,831.579008102417,499.9809026718139,1454.481132030487
mps-uncap,0.7,6388.684320449829,7286.806936264038,9035.207495689392
mps-uncap,0.1,44.713866710662856,34.5541667938232,23.89014244079595
mps-uncap,0.2,48.63387107849122,30.535080432891842,19.212274551391598
mps-uncap,0.3,65.08173227310178,41.42254829406734,18.366241455078118
mps-uncap,0.4,87.57232904434193,59.20557975769035,31.36444091796875
