mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,7689.900279045105,7270.295262336731,7985.687017440796
mps-uncap,0.9,9963.468313217163,9765.047073364258,10080.449104309082
mps-uncap,1.0,11241.741418838501,12095.883846282959,12156.23390674591
mps-uncap,0.5,36.31556034088135,22.79186248779297,12.388110160827637
mps-uncap,0.6,313.46583366394043,89.17808532714844,766.5294408798218
mps-uncap,0.7,2840.760350227356,3564.9631023406982,4289.553999900818
mps-uncap,0.1,17.87865161895752,15.752553939819336,8.981466293334961
mps-uncap,0.2,17.3342227935791,10.712504386901855,5.756378173828125
mps-uncap,0.3,16.569137573242188,10.956287384033203,5.220174789428711
mps-uncap,0.4,23.763656616210938,14.007329940795898,7.262229919433594
