mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,14872.91703939438,14323.783714771273,15720.779476165771
mps-uncap,0.9,19680.54009437561,19087.886209487915,20257.576065063477
mps-uncap,1.0,23070.23612976074,24824.25139427185,23988.434450626373
mps-uncap,0.5,326.13311767578125,85.38181304931639,51.28499269485474
mps-uncap,0.6,816.4378643035889,491.27094745635986,1450.401599407196
mps-uncap,0.7,6373.433380126953,7277.866477966309,9031.084852218628
mps-uncap,0.1,27.993316650390643,21.669349670410064,16.287431716918952
mps-uncap,0.2,33.08397293090826,21.70093774795532,13.662047386169425
mps-uncap,0.3,49.97287988662717,32.48493194580068,14.15600776672362
mps-uncap,0.4,72.42066621780381,50.39827823638901,27.120351791381836
