mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,27.72235870361328,23.903846740722656,17.815113067626953
mps-uncap,0.9,23.634910583496094,19.09661293029785,16.53146743774414
mps-uncap,1.0,24.40667152404785,23.798704147338867,18.443822860717773
mps-uncap,0.5,29.217243194580078,23.395538330078125,16.866683959960938
mps-uncap,0.6,27.987003326416016,22.58586883544922,17.690658569335938
mps-uncap,0.7,19.668102264404297,11.516094207763672,9.224414825439453
mps-uncap,0.1,32.17482566833496,23.448467254638672,13.361454010009766
mps-uncap,0.2,27.02927589416504,19.07062530517578,10.864019393920898
mps-uncap,0.3,20.589590072631836,22.71747589111328,18.18561553955078
mps-uncap,0.4,21.629810333251953,23.34880828857422,18.333911895751953
