mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,16.632075309753418,9.770185947418215,4.535322189331055
mps-uncap,0.9,16.295089721679688,9.315233230590822,4.43777322769165
mps-uncap,1.0,15.92698097229004,10.222477912902832,4.478507041931151
mps-uncap,0.5,16.43566131591797,9.990220069885254,4.782543182373048
mps-uncap,0.6,16.085929870605472,9.925520420074461,4.630336761474609
mps-uncap,0.7,16.314857006072998,9.911832809448248,4.608306884765625
mps-uncap,0.1,28.179931640625,20.60760498046875,9.823493957519531
mps-uncap,0.2,22.21764564514163,16.023025512695312,8.632483482360836
mps-uncap,0.3,17.87966012954712,11.647949218749995,6.329822540283202
mps-uncap,0.4,16.75050973892212,10.11416435241699,4.9266815185546875
