mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,13592.969298362732,13246.007585525513,14366.72263145447
mps-uncap,0.9,17412.895154953007,17624.772357940674,18426.002144813538
mps-uncap,1.0,20974.904823303223,22702.372646331787,21704.714012146
mps-uncap,0.5,75.1013755798341,51.17344856262208,29.487514495849606
mps-uncap,0.6,642.7404880523682,333.24408531188965,1352.5606155395508
mps-uncap,0.7,5692.23861694336,6588.010835647583,8253.361821174622
mps-uncap,0.1,11.628246307373038,9.217071533203132,6.79492950439453
mps-uncap,0.2,15.232372283935549,9.989213943481445,5.781364440917969
mps-uncap,0.3,19.552159309387203,15.350961685180671,6.7348480224609375
mps-uncap,0.4,34.46350097656251,22.385549545288097,13.267040252685547
