mode,load,0_efficientnet_b5-2,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,0.8,15.164852142333984,8.664369583129883,4.132986068725586
mps-uncap,0.9,15.619754791259766,8.596658706665039,4.239082336425781
mps-uncap,1.0,15.130281448364258,8.75711441040039,4.155158996582031
mps-uncap,0.5,14.845609664916992,8.665323257446289,4.0798187255859375
mps-uncap,0.6,14.81175422668457,8.583307266235352,4.185199737548828
mps-uncap,0.7,15.465497970581055,8.907556533813477,4.239559173583984
mps-uncap,0.1,14.753580093383789,8.611440658569336,4.057407379150391
mps-uncap,0.2,15.053033828735352,8.557796478271484,4.071474075317383
mps-uncap,0.3,14.71567153930664,8.713960647583008,4.035472869873047
mps-uncap,0.4,14.882802963256836,8.549928665161133,4.086971282958984
