mode,load,0_alexnet-32,1_resnet18-8,2_squeezenet1_1-2
mps-uncap,0.8,262.7911567687988,98.36554527282715,115.85283279418945
mps-uncap,0.9,6287.707805633545,927.1523952484131,726.7608642578125
mps-uncap,1.0,9361.045837402344,2680.572032928467,6053.267002105713
mps-uncap,0.5,23.35524559020996,25.606870651245117,18.67198944091797
mps-uncap,0.6,46.83685302734375,29.71339225769043,22.504329681396484
mps-uncap,0.7,52.84690856933594,47.74665832519531,47.05333709716797
mps-uncap,0.1,13.16523551940918,14.73093032836914,13.716936111450195
mps-uncap,0.2,14.599323272705078,17.925262451171875,23.5898494720459
mps-uncap,0.3,17.25316047668457,20.705461502075195,20.062923431396484
mps-uncap,0.4,18.70894432067871,24.025917053222656,18.707990646362305
