mode,load,0_efficientnet_b6-8,1_mobilenet_v3_small-32,2_squeezenet1_0-8
mps-uncap,0.8,283.79594224676435,4281.752928499064,1665.5721664677958
mps-uncap,0.9,309.09869532127004,4607.590949201632,1924.6345631756171
mps-uncap,1.0,312.4211861805144,4925.542814585904,1910.5374809224
mps-uncap,0.5,174.61703559685847,2576.06151539226,1093.3768920299415
mps-uncap,0.6,209.51055343190106,3175.3880097053993,1278.041476753836
mps-uncap,0.7,235.35810046129617,3654.7394309400906,1493.9464912473434
mps-uncap,0.1,35.341693585558104,519.6723288154924,214.59663371594775
mps-uncap,0.2,62.054765102885554,1060.4688525766362,432.18846127017525
mps-uncap,0.3,106.39360616670436,1555.741609178807,656.7997582576154
mps-uncap,0.4,139.26393504573414,2144.987312478527,842.7927444707282
