mode,load,0_resnet34-16,1_mobilenet_v3_small-2,2_resnet18-8
mps-uncap,1.0,5.841255187988281,4.24957275390625,2.9757022857666016
mig,1.0,7.785558700561523,4.07099723815918,4.258155822753906
