mode,load,0_resnet34-16,1_mobilenet_v3_small-2,2_resnet18-8
mps-uncap,1.0,5.266427993774414,4.0378570556640625,2.347230911254883
mig,1.0,7.443428039550781,3.978729248046875,4.085540771484375
