mode,load,0_resnet34-16,1_mobilenet_v3_small-2,2_resnet18-8
mps-uncap,1.0,5.266427993774414,4.037618637084961,2.347230911254883
mig,1.0,7.44318962097168,3.9784908294677734,4.085540771484375
