mode,load,0_resnet34-16,1_mobilenet_v3_small-2,2_resnet18-8
mps-uncap,1.0,6.069660186767578,4.721713066101074,3.414630889892578
mig,1.0,8.235812187194824,4.153728485107422,4.575634002685548
