mode,load,0_resnet34-16,1_mobilenet_v3_small-2,2_resnet18-8
mps-uncap,1.0,5.841255187988281,4.249334335327148,2.9757022857666016
mig,1.0,7.785320281982422,4.070758819580078,4.257917404174805
