mode,load,0_resnet34-16,1_mobilenet_v3_small-2,2_resnet18-8
mps-uncap,1.0,6.069421768188477,4.721474647521973,3.4143924713134766
mig,1.0,8.235454559326172,4.153728485107422,4.575490951538086
