mode,load,0_resnet34-16,1_mobilenet_v3_small-2,2_resnet18-8
mps-uncap,1.0,18.451690673828125,14.699697494506836,14.549970626831055
mig,1.0,22.16362953186035,14.42408561706543,19.390106201171875
