mode,load,0_resnet34-16,1_mobilenet_v3_small-2,2_resnet18-8
mps-uncap,1.0,0.000476837158203125,0.00667572021484375,0.005245208740234375
mig,1.0,0.0045299530029296875,0.0069141387939453125,0.0064373016357421875
