mode,load,0_resnet34-16,1_mobilenet_v3_small-2,2_resnet18-8
mps-uncap,1.0,2732.836937004997,461.08165945311,2655.252155585441
mig,1.0,2016.6832375115914,489.61390705982006,1837.9017618497749
