mode,load,0_densenet161-16,1_efficientnet_b5-2,2_vgg19-4
mps-uncap,0.8,105.69505691528323,44.36945915222168,19.2563533782959
mps-uncap,0.9,204.24225330352783,80.8139801025391,34.11545753479003
mps-uncap,1.0,1911.2545013427734,446.28577232360834,106.7561149597168
mps-uncap,0.5,42.029905319213874,28.77888679504395,8.629322052001953
mps-uncap,0.6,53.39748859405517,29.89859580993653,11.244702339172369
mps-uncap,0.7,72.74365425109863,37.19878196716308,14.874505996704105
mps-uncap,0.1,24.201393127441406,21.73945903778076,4.502391815185547
mps-uncap,0.2,27.60636806488037,25.302815437316895,5.402636528015138
mps-uncap,0.3,30.179834365844727,26.85489654541016,6.7521333694458
mps-uncap,0.4,39.60227966308594,24.74808692932129,7.787322998046875
