mode,load,0_efficientnet_b5-32,1_efficientnet_b5-32
mig,0.1,75.52203774780047,50.86574167401924
mig,0.2,139.19311606860154,113.22693165150686
mig,0.3,190.95075560688994,163.22226969229283
mig,0.4,256.49901469832247,233.38797123673695
mig,0.5,337.416295479501,286.8096918032791
mig,0.6,399.67288395509576,314.4292182280645
mig,0.7,483.55710270543346,381.9856692423205
mig,0.8,552.5823684077828,438.93240018234826
mig,0.9,573.8370095891314,495.6861235010279
mig,1.0,570.5569487549493,495.32460037137236
