mode,load,0_inception_v3-4,1_resnet34-2,2_squeezenet1_0-8
mps-uncap,0.8,85.34097671508795,19.637393951416016,34.21587944030766
mps-uncap,0.9,1876.2982368469238,52.28650569915772,1592.2000646591189
mps-uncap,1.0,4291.786909103394,491.40658378601086,7286.817336082459
mps-uncap,0.5,15.288829803466799,6.023883819580078,4.9300193786621085
mps-uncap,0.6,23.570203781127926,9.74726676940918,6.492900848388672
mps-uncap,0.7,40.491151809692376,15.424609184265137,9.398603439331056
mps-uncap,0.1,10.083913803100586,4.017066955566406,1.695871353149414
mps-uncap,0.2,10.217905044555664,5.915880203247073,2.9710769653320317
mps-uncap,0.3,9.785747528076175,5.5902957916259775,3.374457359313965
mps-uncap,0.4,11.606216430664068,5.179262161254883,3.412485122680664
