mode,load,0_inception_v3-4,1_resnet34-2,2_squeezenet1_0-8
mps-uncap,0.8,18.333911895751953,8.832454681396484,8.91423225402832
mps-uncap,0.9,22.492170333862305,15.883445739746094,15.283823013305664
mps-uncap,1.0,19.379377365112305,14.513492584228516,13.829469680786133
mps-uncap,0.5,15.317201614379883,14.479637145996094,16.205310821533203
mps-uncap,0.6,22.08113670349121,16.689538955688477,5.838632583618164
mps-uncap,0.7,18.585681915283203,12.780427932739258,11.014461517333984
mps-uncap,0.1,30.704975128173828,18.357276916503906,18.8601016998291
mps-uncap,0.2,24.79386329650879,9.906291961669922,10.606527328491211
mps-uncap,0.3,19.884109497070312,18.964529037475586,16.795635223388672
mps-uncap,0.4,23.18739891052246,15.163421630859375,15.215873718261719
