mode,load,0_inception_v3-4,1_resnet34-2,2_squeezenet1_0-8
mps-uncap,0.8,8.677005767822266,3.342866897583008,1.9397735595703125
mps-uncap,0.9,8.917808532714844,3.4401416778564453,2.0034313201904297
mps-uncap,1.0,9.08803939819336,3.364086151123047,1.9924640655517578
mps-uncap,0.5,8.551359176635742,3.3872127532958984,1.8317699432373047
mps-uncap,0.6,8.63194465637207,3.3788681030273438,1.8358230590820312
mps-uncap,0.7,8.770465850830078,3.3812522888183594,1.920938491821289
mps-uncap,0.1,8.65483283996582,3.688335418701172,2.104043960571289
mps-uncap,0.2,8.603572845458984,3.443002700805664,2.081155776977539
mps-uncap,0.3,8.49604606628418,3.404855728149414,1.9164085388183594
mps-uncap,0.4,8.496761322021484,3.351926803588867,1.8525123596191406
