mode,load,0_inception_v3-4,1_resnet34-2,2_squeezenet1_0-8
mps-uncap,0.8,180.7931041717528,45.204916000366175,68.01265716552732
mps-uncap,0.9,2112.130846977234,110.87470769882198,1791.7301821708681
mps-uncap,1.0,4889.58062171936,587.9015350341798,8112.011265754699
mps-uncap,0.5,39.974861145019474,16.69254302978517,13.358621597290034
mps-uncap,0.6,53.8921356201172,24.49784278869626,18.29948663711547
mps-uncap,0.7,100.19782543182382,42.07835197448728,23.52837562561035
mps-uncap,0.1,36.73462867736816,18.00412654876705,8.266067504882814
mps-uncap,0.2,35.112929344177275,18.693771362304712,11.045641899108887
mps-uncap,0.3,30.76440811157239,18.470611572265607,10.950994491577148
mps-uncap,0.4,32.55541801452637,15.645160675048828,11.170101165771484
