mode,load,0_inception_v3-4,1_resnet34-2,2_squeezenet1_0-8
mps-uncap,0.8,30.875682830810547,8.460283279418945,9.880304336547852
mps-uncap,0.9,719.1946506500244,18.208026885986328,763.5191679000854
mps-uncap,1.0,2038.464069366455,147.32742309570312,3795.5942153930664
mps-uncap,0.5,11.314868927001953,4.463672637939453,3.2923221588134766
mps-uncap,0.6,14.650821685791016,6.015300750732422,3.6649703979492188
mps-uncap,0.7,19.032001495361328,7.51185417175293,4.5566558837890625
mps-uncap,0.1,16.546249389648438,7.581114768981934,3.9870738983154297
mps-uncap,0.2,14.684438705444336,6.947755813598633,3.888368606567383
mps-uncap,0.3,11.145830154418945,5.971193313598633,3.574371337890625
mps-uncap,0.4,10.570287704467773,4.689216613769531,3.0519962310791016
