mode,load,0_inception_v3-4,1_resnet34-2,2_squeezenet1_0-8
mps-uncap,0.8,8.5906982421875,3.323078155517578,1.9016265869140625
mps-uncap,0.9,8.606910705566406,3.402233123779297,1.9373893737792969
mps-uncap,1.0,8.749246597290039,3.294229507446289,1.9741058349609375
mps-uncap,0.5,8.517265319824219,3.353595733642578,1.8193721771240234
mps-uncap,0.6,8.580207824707031,3.347635269165039,1.8210411071777344
mps-uncap,0.7,8.668184280395508,3.3414363861083984,1.8191337585449219
mps-uncap,0.1,8.615970611572266,3.3922195434570312,2.0904541015625
mps-uncap,0.2,8.590936660766602,3.3676624298095703,2.0661354064941406
mps-uncap,0.3,8.43954086303711,3.3833980560302734,1.8990039825439453
mps-uncap,0.4,8.44717025756836,3.326892852783203,1.840829849243164
