mode,load,0_inception_v3-4,1_resnet34-2,2_squeezenet1_0-8
mps-uncap,0.8,366.2878109743669,443.6482642709332,2643.2853238322805
mps-uncap,0.9,398.5445039714445,509.4410989510953,2938.341882517223
mps-uncap,1.0,424.86472309866684,554.0026086479858,2844.3945060359324
mps-uncap,0.5,234.70401804215456,276.2219968099566,1685.1943974017984
mps-uncap,0.6,279.6956977029334,334.76626544862074,1975.3427421865392
mps-uncap,0.7,317.9339276839236,385.84628584252016,2312.432727201868
mps-uncap,0.1,48.48163462848414,55.31646949663977,339.93391296264673
mps-uncap,0.2,90.95375215301846,111.49996105557688,668.24638732409
mps-uncap,0.3,137.46659201393862,165.8055440839578,1001.950637841207
mps-uncap,0.4,187.83964939358324,225.99649540232383,1340.766152866204
