mode,load,0_densenet121-2,1_mobilenet_v2-32,2_mobilenet_v3_large-2
mps-uncap,0.8,9.972333908081055,6.047725677490234,4.500627517700195
mps-uncap,0.9,12.258052825927734,5.993843078613281,5.219936370849609
mps-uncap,1.0,12.444257736206055,6.04557991027832,5.991458892822266
mps-uncap,0.5,9.87398624420166,5.857706069946289,4.775762557983398
mps-uncap,0.6,9.449243545532227,5.926012992858887,4.543304443359375
mps-uncap,0.7,10.168671607971191,5.988359451293945,4.0531158447265625
mps-uncap,0.1,16.78931713104248,5.820989608764648,6.910085678100586
mps-uncap,0.2,15.532135963439941,5.8689117431640625,6.691932678222656
mps-uncap,0.3,12.517452239990234,5.833745002746582,6.578683853149414
mps-uncap,0.4,11.530518531799316,5.8852434158325195,5.6095123291015625
