mode,load,0_densenet121-2,1_mobilenet_v2-32,2_mobilenet_v3_large-2
mps-uncap,0.8,0.01049041748046875,0.01049041748046875,0.008821487426757812
mps-uncap,0.9,0.01049041748046875,0.009775161743164062,0.008821487426757812
mps-uncap,1.0,0.012636184692382812,0.01049041748046875,0.01049041748046875
mps-uncap,0.5,0.01049041748046875,0.010728836059570312,0.009298324584960938
mps-uncap,0.6,0.009775161743164062,0.009775161743164062,0.008106231689453125
mps-uncap,0.7,0.0095367431640625,0.009775161743164062,0.009059906005859375
mps-uncap,0.1,0.0133514404296875,0.011444091796875,0.011205673217773438
mps-uncap,0.2,0.013828277587890625,0.011444091796875,0.011682510375976562
mps-uncap,0.3,0.01049041748046875,0.010728836059570312,0.011205673217773438
mps-uncap,0.4,0.011205673217773438,0.011205673217773438,0.010967254638671875
