mode,load,0_densenet121-2,1_mobilenet_v2-32,2_mobilenet_v3_large-2
mps-uncap,0.8,12.792291641235353,6.438255310058594,6.159305572509766
mps-uncap,0.9,14.271655082702635,6.284952163696289,6.317615509033203
mps-uncap,1.0,14.204475879669195,6.302530765533447,6.336729526519775
mps-uncap,0.5,14.73706722259523,6.409502029418945,7.604219913482666
mps-uncap,0.6,14.03996467590332,6.403353214263915,6.964397430419922
mps-uncap,0.7,13.844497203826903,6.444101333618164,6.35164737701416
mps-uncap,0.1,18.072962760925293,6.594400405883789,8.197498321533203
mps-uncap,0.2,18.668994903564453,6.850438117980954,8.159351348876953
mps-uncap,0.3,19.173102378845215,6.557044982910155,8.334100246429443
mps-uncap,0.4,17.701594829559323,6.792135238647461,7.916355133056641
