mode,load,0_densenet121-2,1_mobilenet_v2-32,2_mobilenet_v3_large-2
mps-uncap,0.8,129.32625833405353,3963.3892947222926,321.62746716012356
mps-uncap,0.9,145.9717607469851,4560.613096752165,356.2082568400175
mps-uncap,1.0,160.43295557444836,5139.271970319392,356.5680955483382
mps-uncap,0.5,84.29664302732967,2473.4512211471147,196.16852776401157
mps-uncap,0.6,97.61015520414013,2953.977261721684,240.30849240867198
mps-uncap,0.7,111.72383853333471,3544.7846174623037,281.8673343617549
mps-uncap,0.1,15.292996420030292,492.9760948525448,40.61223970229086
mps-uncap,0.2,33.02611300911716,1024.392391134878,79.32553213911723
mps-uncap,0.3,48.102175852135076,1546.3072138914217,122.68265177784548
mps-uncap,0.4,64.33935334178662,1979.1394502997302,160.7478018352931
