mode,load,0_densenet121-2,1_mobilenet_v2-32,2_mobilenet_v3_large-2
mps-uncap,0.8,13.986349105834961,7.230997085571289,7.792472839355469
mps-uncap,0.9,15.356063842773438,8.237600326538086,7.54237174987793
mps-uncap,1.0,15.558004379272461,8.153200149536133,8.130788803100586
mps-uncap,0.5,19.6378231048584,7.439136505126953,8.689403533935547
mps-uncap,0.6,17.475128173828125,7.258415222167969,8.180379867553711
mps-uncap,0.7,15.172719955444336,6.851673126220703,7.935523986816406
mps-uncap,0.1,19.455671310424805,7.111787796020508,8.596420288085938
mps-uncap,0.2,19.674062728881836,7.348060607910156,10.714530944824219
mps-uncap,0.3,21.41261100769043,6.814718246459961,8.996009826660156
mps-uncap,0.4,19.544124603271484,10.1165771484375,8.780241012573242
