mode,load,0_densenet121-2,1_mobilenet_v2-32,2_mobilenet_v3_large-2
mps-uncap,0.8,15.107154846191406,11.991500854492188,7.354259490966797
mps-uncap,0.9,27.940988540649414,18.250584602355957,17.931222915649414
mps-uncap,1.0,219.34711933135986,70.7235336303711,3007.7041387557983
mps-uncap,0.5,12.6115083694458,6.248712539672852,6.153583526611328
mps-uncap,0.6,12.215852737426758,7.0503950119018555,5.664825439453125
mps-uncap,0.7,13.571500778198242,9.741783142089844,5.544543266296387
mps-uncap,0.1,16.91734790802002,5.946874618530273,7.101178169250488
mps-uncap,0.2,16.368985176086426,6.018161773681641,7.020711898803711
mps-uncap,0.3,13.485550880432129,6.035804748535156,7.109880447387695
mps-uncap,0.4,12.947916984558105,6.192207336425781,6.723880767822266
