mode,load,0_densenet121-2,1_mobilenet_v2-32,2_mobilenet_v3_large-2
mps-uncap,0.8,6.887197494506836,5.542278289794922,2.7618408203125
mps-uncap,0.9,7.027626037597656,5.524635314941406,2.7189254760742188
mps-uncap,1.0,7.473230361938477,5.748510360717773,2.900838851928711
mps-uncap,0.5,7.052421569824219,5.514860153198242,2.691984176635742
mps-uncap,0.6,6.862878799438477,5.534172058105469,2.7692317962646484
mps-uncap,0.7,6.982326507568359,5.521297454833984,2.724885940551758
mps-uncap,0.1,7.100582122802734,5.552530288696289,2.8297901153564453
mps-uncap,0.2,6.943702697753906,5.550861358642578,2.7446746826171875
mps-uncap,0.3,7.171630859375,5.546092987060547,2.821207046508789
mps-uncap,0.4,6.917238235473633,5.552768707275391,2.7556419372558594
