mode,load,0_alexnet-32,1_efficientnet_b5-16,2_vgg16-8
mps-uncap,0.6,36.406517028808594,77.77523994445801,23.546218872070312
mig,0.6,45.41277885437012,326.05600357055664,110.8083724975586
mps-uncap,0.7,36.89122200012207,151.2279510498047,30.855417251586914
mig,0.7,66.78891181945801,364.7909164428711,132.57694244384766
mps-uncap,0.8,62.52694129943848,121.8264102935791,40.03286361694336
mig,0.8,64.87846374511719,680.7370185852051,251.1589527130127
mps-uncap,0.9,64.64266777038574,158.38909149169922,41.8248176574707
mig,0.9,107.34915733337402,746.025562286377,384.77468490600586
mps-uncap,1.0,254.38618659973145,338.7887477874756,61.24091148376465
mig,1.0,646.2674140930176,2131.364345550537,1209.5417976379395
mps-uncap,1.1,2610.2113723754883,414.4876003265381,75.73223114013672
mig,1.1,6007.595539093018,6880.88846206665,7508.806943893433
mps-uncap,1.2,13739.755630493164,882.2946548461914,114.1364574432373
mig,1.2,13760.349750518799,16424.86524581909,13011.106014251709
mps-uncap,1.3,23951.74527168274,3018.664598464966,89.48922157287598
mig,1.3,19005.16128540039,20478.46746444702,21095.41130065918
