mode,load,0_alexnet-32,1_efficientnet_b5-16,2_vgg16-8
mps-uncap,0.6,5.674600601196289,19.036507606506355,4.809761047363282
mig,0.6,10.205888748168947,108.79843235015868,41.054677963256864
mps-uncap,0.7,7.666468620300289,29.54983711242678,6.260442733764648
mig,0.7,15.775752067565918,123.68686199188232,54.71391677856444
mps-uncap,0.8,12.444877624511747,36.86976432800293,7.6370716094970765
mig,0.8,20.367884635925293,306.7263364791871,97.01204299926758
mps-uncap,0.9,17.6755428314209,66.37015342712402,8.911609649658203
mig,0.9,42.601108551025376,409.32345390319824,184.52763557434082
mps-uncap,1.0,84.67307090759276,111.87560558319096,14.409208297729494
mig,1.0,524.9958038330078,1613.3296966552737,942.2301292419434
mps-uncap,1.1,1780.615329742432,222.9398250579834,17.316675186157234
mig,1.1,5555.134916305542,5342.754125595093,6945.084619522095
mps-uncap,1.2,11909.882164001465,337.75150775909424,21.68130874633789
mig,1.2,12350.860357284546,14637.296748161318,11996.978521347046
mps-uncap,1.3,21621.452927589417,2496.253728866577,23.216676712036136
mig,1.3,17229.06799316407,18067.53625869751,18956.792783737183
