mode,load,0_alexnet-32,1_efficientnet_b5-16,2_vgg16-8
mps-uncap,0.6,18.244993686676032,70.47992944717414,21.289043426513715
mig,0.6,27.669792175292937,279.41171407699557,96.48907661437991
mps-uncap,0.7,22.606446743011457,98.42097282409664,25.348243713378903
mig,0.7,45.17412900924669,321.7200660705568,120.56480169296263
mps-uncap,0.8,35.639047622680664,125.82514286041257,27.511157989501953
mig,0.8,41.581852436065674,636.6946530342103,205.82631826400748
mps-uncap,0.9,42.42086410522461,158.8914108276367,30.581426620483327
mig,0.9,83.13718318939209,701.6507911682129,297.7764129638672
mps-uncap,1.0,167.4330902099618,275.4072403907776,42.42061614990237
mig,1.0,606.6748142242432,2079.075212478637,1169.4263315200806
mps-uncap,1.1,2534.2574548721313,369.77963924407953,47.906465530395515
mig,1.1,5951.1408495903015,6793.606913089754,7390.487701892853
mps-uncap,1.2,13569.706506729124,740.4561281204218,58.13245773315424
mig,1.2,13639.847099781036,16295.912673473356,12814.102926254274
mps-uncap,1.3,23625.646166801453,2902.802348136902,61.99856281280516
mig,1.3,18761.664721965786,20210.452847480774,20768.602037429813
