mode,load,0_alexnet-32,1_efficientnet_b5-16,2_vgg16-8
mps-uncap,0.6,3.2454729080200195,23.017406463623047,7.235050201416016
mig,0.6,4.580259323120117,53.330183029174805,19.41823959350586
mps-uncap,0.7,3.3560991287231445,25.438547134399414,7.524967193603516
mig,0.7,4.633665084838867,53.408145904541016,19.45018768310547
mps-uncap,0.8,3.463625907897949,26.81255340576172,7.930994033813477
mig,0.8,4.707574844360352,53.43973636627197,19.511699676513672
mps-uncap,0.9,3.7474632263183594,30.38644790649414,8.690118789672852
mig,0.9,4.777669906616211,53.67612838745117,19.562244415283203
mps-uncap,1.0,4.173517227172852,34.865498542785645,9.278297424316406
mig,1.0,4.841327667236328,53.984642028808594,19.695281982421875
mps-uncap,1.1,4.402399063110352,37.12022304534912,9.54294204711914
mig,1.1,4.905462265014648,54.14009094238281,19.734501838684082
mps-uncap,1.2,4.839658737182617,39.144039154052734,9.716510772705078
mig,1.2,4.913568496704102,54.091691970825195,19.71721649169922
mps-uncap,1.3,5.233526229858398,40.76504707336426,9.882688522338867
mig,1.3,4.846334457397461,54.15201187133789,19.72222328186035
