mode,load,0_alexnet-32,1_efficientnet_b5-16,2_vgg16-8
mps-uncap,0.6,3701.7052162478058,177.9074949365751,241.42869748580776
mig,0.6,3743.0055935974233,170.546975075871,242.0968396428894
mps-uncap,0.7,4403.607281618999,203.8498894777619,275.3580478078193
mig,0.7,4465.607353825974,198.33796861565503,276.80595669841864
mps-uncap,0.8,5009.365290900396,242.58874753166774,308.804675448619
mig,0.8,5068.746780795941,237.96527683861953,329.03636774756234
mps-uncap,0.9,5668.455477132527,271.76911576071564,345.26260904494865
mig,0.9,5605.378923456617,261.9806244781703,365.2867720626712
mps-uncap,1.0,6287.180317574513,291.42276823057466,414.2176080296966
mig,1.0,6324.958966012169,286.3587073503517,399.3740527577398
mps-uncap,1.1,6744.523496856214,327.9384113171547,441.15661532442374
mig,1.1,6384.006967745122,293.17464196184153,403.04210295419335
mps-uncap,1.2,6373.572867348307,344.6224879303139,484.04034807097264
mig,1.2,6375.714188992939,294.86695905329265,404.470174746342
mps-uncap,1.3,5999.177441872083,377.36443432498396,512.7723961425504
mig,1.3,6427.477649862556,294.7980839954194,403.6552531135158
