mode,load,0_densenet121-32,1_densenet121-32
mig,0.1,28.986454010009766,25.714397430419922
mig,0.2,28.978347778320312,25.711655616760254
mig,0.3,28.963208198547363,25.678157806396484
mig,0.4,28.959035873413086,25.694608688354492
mig,0.5,28.940916061401367,25.668859481811523
mig,0.6,28.941631317138672,25.664806365966797
mig,0.7,28.942346572875977,25.65622329711914
mig,0.8,28.941869735717773,25.64716339111328
mig,0.9,28.954029083251953,25.65908432006836
mig,1.0,29.090046882629395,25.729656219482422
