mode,load,0_alexnet-16,1_mobilenet_v3_large-8,2_resnet18-2
mps-uncap,0.8,6504.47236169046,1351.3677590950851,743.0838172603176
mps-uncap,0.9,7373.704527851414,1538.6657009598175,819.8669891139845
mps-uncap,1.0,8093.300710851371,1745.1268002027691,922.6813869040718
mps-uncap,0.5,4164.996379301731,852.3094682215861,463.3935015586284
mps-uncap,0.6,5028.826859394243,1019.7277031982649,550.0707546843773
mps-uncap,0.7,5702.229998086453,1176.0090885242196,644.8433591032253
mps-uncap,0.1,840.1901748769982,181.50169549196846,90.17008747190911
mps-uncap,0.2,1662.9206394941766,331.3396447326847,187.2927403055434
mps-uncap,0.3,2450.9897604185594,515.6909698649135,275.5587268558563
mps-uncap,0.4,3304.480357187737,700.4461691825231,365.84656890161324
