mode,load,0_alexnet-16,1_mobilenet_v3_large-8,2_resnet18-2
mps-uncap,0.8,1.3992786407470703,2.792835235595703,1.0800361633300781
mps-uncap,0.9,1.401662826538086,2.7735233306884766,1.1026859283447266
mps-uncap,1.0,1.4150142669677734,2.805471420288086,1.0890960693359375
mps-uncap,0.5,1.3875961303710938,2.7675628662109375,1.085042953491211
mps-uncap,0.6,1.4073848724365234,2.802133560180664,1.100301742553711
mps-uncap,0.7,1.378774642944336,2.780914306640625,1.0752677917480469
mps-uncap,0.1,1.3887882232666016,2.863168716430664,1.1019706726074219
mps-uncap,0.2,1.3816356658935547,2.799510955810547,1.094818115234375
mps-uncap,0.3,1.3852119445800781,2.7587413787841797,1.1110305786132812
mps-uncap,0.4,1.4154911041259766,2.7923583984375,1.0819435119628906
