mode,load,0_alexnet-16,1_mobilenet_v3_large-8,2_resnet18-2
mps-uncap,0.8,1.870870590209961,4.5948028564453125,2.4795293807983403
mps-uncap,0.9,1.973867416381836,4.191160202026367,2.542257308959961
mps-uncap,1.0,2.0096302032470703,4.214048385620117,2.6291608810424805
mps-uncap,0.5,1.768350601196289,6.0504913330078125,2.7196407318115234
mps-uncap,0.6,1.854825019836426,5.004310607910156,2.3630142211914062
mps-uncap,0.7,1.8346309661865234,4.7699928283691415,2.269577980041504
mps-uncap,0.1,1.5687942504882812,7.735538482666016,2.960085868835449
mps-uncap,0.2,1.6252994537353516,7.448077201843262,2.9613256454467773
mps-uncap,0.3,1.687955856323242,7.45701789855957,2.985978126525879
mps-uncap,0.4,1.7778873443603516,7.076334953308106,2.8913021087646484
