mode,load,0_alexnet-16,1_mobilenet_v3_large-8,2_resnet18-2
mps-uncap,0.8,26.03602409362793,40.842294692993164,25.957822799682617
mps-uncap,0.9,34.05880928039551,55.56035041809082,43.561458587646484
mps-uncap,1.0,70.14346122741699,86.38358116149902,444.4248676300049
mps-uncap,0.5,9.791135787963867,34.261465072631836,17.77362823486328
mps-uncap,0.6,13.722896575927734,26.148080825805664,14.229536056518555
mps-uncap,0.7,17.84062385559082,28.69129180908203,337.01586723327637
mps-uncap,0.1,4.049062728881836,25.826692581176758,9.035110473632812
mps-uncap,0.2,6.042957305908203,33.88047218322754,11.943817138671875
mps-uncap,0.3,6.449460983276367,27.36353874206543,14.749765396118164
mps-uncap,0.4,7.047891616821289,33.54048728942871,15.972137451171875
