mode,load,0_alexnet-16,1_mobilenet_v3_large-8,2_resnet18-2
mps-uncap,0.8,12.642264366149895,25.289809703826908,15.653121471405033
mps-uncap,0.9,23.58285427093505,32.076442241668694,30.41530609130857
mps-uncap,1.0,53.9509177207947,59.1115522384643,383.1166982650757
mps-uncap,0.5,5.559484958648679,20.513410568237322,9.188592433929438
mps-uncap,0.6,8.006331920623788,17.18797922134399,8.964710235595676
mps-uncap,0.7,8.873844146728512,19.230070114135735,10.327255725860597
mps-uncap,0.1,2.7986884117126465,15.66318511962888,5.285408496856688
mps-uncap,0.2,3.1552433967590314,18.14166307449343,6.730208396911622
mps-uncap,0.3,4.001340866088866,20.637774467468272,8.619558811187751
mps-uncap,0.4,4.807853698730473,21.280479431152393,10.18573760986328
