mode,load,0_densenet121-8,1_squeezenet1_1-4,2_vgg19-16
mps-uncap,0.8,178.75643621362042,473.61861078998425,951.5003951813668
mps-uncap,0.9,195.96544410927447,528.6281413082038,1079.2214787618032
mps-uncap,1.0,227.96300905573625,568.5627018520175,1219.8695607534776
mps-uncap,0.5,108.61341971300536,284.8783540697963,590.2807692615187
mps-uncap,0.6,128.56464316133244,337.04634258539335,704.2147080157964
mps-uncap,0.7,159.52179468472102,402.32819324243553,836.8209770662891
mps-uncap,0.1,23.849771019008916,59.84219986667257,119.52375416492123
mps-uncap,0.2,40.203704845485085,111.47631787270986,233.68893746259985
mps-uncap,0.3,68.73362114060639,168.94195329746412,362.8140763819083
mps-uncap,0.4,90.78645565271565,237.94226171005545,507.1589084423933
