mode,load,0_alexnet-32,1_densenet161-16,2_resnet34-16
mps-uncap,0.8,6909.244597340589,339.35631563105073,1138.4499429040507
mps-uncap,0.9,7333.494989151271,372.373351264679,1284.4649290651287
mps-uncap,1.0,7515.090325864436,373.6786102242491,1329.6262622987504
mps-uncap,0.5,4255.263566954749,204.5749770515668,708.3141070682295
mps-uncap,0.6,5165.611839514817,226.65716826817786,846.6346367256668
mps-uncap,0.7,5911.792753975406,294.3438091935309,1036.7496175042065
mps-uncap,0.1,859.38512080378,45.09072477629645,139.24427426158547
mps-uncap,0.2,1692.5344700744154,78.1083245898797,289.3304507907712
mps-uncap,0.3,2564.892097677664,109.2255720077885,438.06091299032244
mps-uncap,0.4,3408.9124601067824,160.7898422086322,590.0343007271395
