mode,load,0_alexnet-32,1_densenet161-16,2_resnet34-16
mps-uncap,0.8,2.3131370544433594,20.003318786621094,3.7653446197509766
mps-uncap,0.9,2.682209014892578,19.786596298217773,4.006862640380859
mps-uncap,1.0,2.4919509887695312,19.003868103027344,5.995512008666992
mps-uncap,0.5,2.2792816162109375,18.457412719726562,3.7508010864257812
mps-uncap,0.6,2.2993087768554688,18.492460250854492,3.8299560546875
mps-uncap,0.7,2.2890567779541016,18.687725067138672,3.716707229614258
mps-uncap,0.1,2.6328563690185547,18.937110900878906,3.8678646087646484
mps-uncap,0.2,2.3169517517089844,18.35775375366211,3.8404464721679688
mps-uncap,0.3,2.3162364959716797,18.300294876098633,3.872394561767578
mps-uncap,0.4,2.2826194763183594,18.349409103393555,3.7806034088134766
