mode,load,0_alexnet-32,1_densenet161-16,2_resnet34-16
mps-uncap,0.8,111.29490375518806,625.0189352035524,78.67886066436768
mps-uncap,0.9,3992.592811584473,1353.9008617401125,349.3268632888794
mps-uncap,1.0,7322.933268547058,5420.993630886078,5262.504148483276
mps-uncap,0.5,13.860225677490234,52.70883321762084,21.71561717987069
mps-uncap,0.6,16.02720975875857,95.14586210250856,27.533721923828097
mps-uncap,0.7,37.9430866241454,145.6769466400146,51.34282112121586
mps-uncap,0.1,4.976868629455566,32.16468811035158,7.465333938598632
mps-uncap,0.2,6.228926181793215,30.305919647216655,10.209965705871607
mps-uncap,0.3,7.000555992126464,25.957746505737305,12.632408142089846
mps-uncap,0.4,9.686045646667443,38.24024200439463,13.926615715026891
