mode,load,0_efficientnet_b6-8,1_mobilenet_v3_small-16,2_vgg13-4
mps-uncap,0.8,116.93350315093994,29.844741821289038,28.65954637527466
mps-uncap,0.9,163.16804885864246,47.93330430984497,46.10071182250972
mps-uncap,1.0,842.8721284866333,425.30255556106573,552.18035697937
mps-uncap,0.5,51.490616798400886,18.412504196166985,10.776569843292235
mps-uncap,0.6,53.807046413421645,19.103212356567372,12.685456275939933
mps-uncap,0.7,85.10183334350585,20.37441730499267,18.65466117858882
mps-uncap,0.1,38.87429714202879,12.105398178100586,4.809694290161131
mps-uncap,0.2,44.569015502929616,15.049819946289062,5.978603363037109
mps-uncap,0.3,47.29577302932739,17.16657638549805,7.216558456420907
mps-uncap,0.4,41.46474361419676,18.112225532531735,9.016604423522946
