mode,load,0_efficientnet_b6-8,1_mobilenet_v3_small-16,2_vgg13-4
mps-uncap,0.8,198.8128385443554,1965.471198606469,794.7979750256303
mps-uncap,0.9,236.08934748112904,2242.5569393136493,869.6472521290302
mps-uncap,1.0,244.90556397751178,2523.879767686241,1012.7108815296065
mps-uncap,0.5,130.67376430703922,1264.995069539741,494.0275571588315
mps-uncap,0.6,141.54059945753224,1495.5923524933683,587.0905756564819
mps-uncap,0.7,174.88408551273096,1744.6516334380228,696.7809162624017
mps-uncap,0.1,24.917168645250705,251.2328109762352,103.2048046353005
mps-uncap,0.2,51.406983759353366,499.75974586179314,196.76987532124562
mps-uncap,0.3,79.29974916989687,744.3273922327814,300.4178671110136
mps-uncap,0.4,101.16513384360609,999.8167116024516,404.3256669521911
