mode,load,0_efficientnet_b6-8,1_mobilenet_v3_small-16,2_vgg13-4
mps-uncap,0.8,123.53014945983887,52.486419677734375,39.01815414428711
mps-uncap,0.9,191.71619415283203,74.30791854858398,70.00946998596191
mps-uncap,1.0,878.86643409729,450.4849910736084,576.8661499023438
mps-uncap,0.5,52.35576629638672,20.341157913208008,14.389276504516602
mps-uncap,0.6,64.22066688537598,27.77695655822754,23.30613136291504
mps-uncap,0.7,103.31368446350098,28.76567840576172,36.446571350097656
mps-uncap,0.1,21.42953872680664,8.917570114135742,4.059791564941406
mps-uncap,0.2,44.55256462097168,13.239145278930664,7.489204406738281
mps-uncap,0.3,39.05606269836426,21.65508270263672,7.953166961669922
mps-uncap,0.4,33.30039978027344,27.02808380126953,14.74761962890625
