mode,load,0_inception_v3-16,1_inception_v3-16
mig,0.1,0.06198883056640625,0.06365776062011719
mig,0.2,0.054717063903808594,0.057220458984375
mig,0.3,0.051975250244140625,0.05054473876953125
mig,0.4,0.04673004150390625,0.05245208740234375
mig,0.5,0.054836273193359375,2.7010440826416016
mig,0.6,2.6133060455322266,7.6465606689453125
mig,0.7,5.561709403991699,17.681002616882324
mig,0.8,8.515238761901855,40.50874710083008
mig,0.9,20.39647102355957,1260.6091499328613
mig,1.0,103.8517951965332,4184.246301651001
