mode,load,0_inception_v3-16,1_inception_v3-16
mig,0.1,0.012159347534179688,0.015735626220703125
mig,0.2,0.011920928955078125,0.0133514404296875
mig,0.3,0.010251998901367188,0.009775161743164062
mig,0.4,0.011920928955078125,0.011444091796875
mig,0.5,0.010967254638671875,0.011444091796875
mig,0.6,0.011205673217773438,0.011205673217773438
mig,0.7,0.010251998901367188,0.010013580322265625
mig,0.8,0.010967254638671875,0.011920928955078125
mig,0.9,0.010967254638671875,0.013589859008789062
mig,1.0,0.009298324584960938,0.012874603271484375
